,ARDEN AV/WOODROW RD,ARTHUR KILL RD/1547 ARTHUR KILL RD,WOODROW RD/VINELAND AV,HYLAN BL/SEGUINE AV,ARTHUR KILL RD/WOODROW RD,ARTHUR KILL RD/LADD AV,ARTHUR KILL RD/1666 ARTHUR KILL RD,PLATINUM AV/SEARS,ARDEN AV/ARTHUR KILL RD,WOODROW RD/ALMOND ST,ARDEN AV/DOVER GREEN,WOODROW RD/CANTON AV,WOODROW RD/DELMAR AV,FOSTER RD/ALBOURNE AV,EYLENDT ST/ LUTEN AV,PLATINUM AV/TOYS R US,FOSTER RD/RATBURN AV,MARSH AV/ELMWOOD PK DR,LUTEN AV/EYLANDT ST,ARTHUR KILL RD/ARDEN HGHTS SHOP,ELTINGVILLE/TRANSIT CENTER,SEGUINE AV/WATERBURY AV,SEGUINE AV/SINGLETON ST,HYLAN BL/LUTEN AV,ARDEN AV/FOREST GREEN,ARDEN AV/CORRELL AV,SEGUINE AV/KNOX ST,FOSTER RD/AMBOY RD,FOSTER RD/DARLINGTON AV,FOSTER RD/WHEELING AV,ARTHUR KILL RD/OPP ASPEN KNOLLS,SEGUINE AV/DIRENZO CT,RICHMOND AV/PLATINUM AV,ARTHUR KILL RD/ANNADALE RD,SEGUINE AV/JOHANNA LA,ARDEN AV/ROLLING HILL GREEN,ARTHUR KILL RD/ARDEN AV,ARDEN AV/HAMPTON GREEN,FOSTER RD/SINCLAIR AV,WOODROW RD/DESEREE AV,RICHMOND AV/FOREST HILL RD,FOSTER RD/WOODROW RD,HYLAN BL/CORNELIA AV,MARSH AV/RING RD,ARTHUR KILL RD/CROSSFIELD AV,FOSTER RD/RAMONA AV,SEGUINE AV/OSWALD PL,FOSTER RD/DRUMGOOLE RD W,FOSTER RD/DRUMGOOLE RD E,WOODROW RD/ALVERSON AV,MARSH AV/WINDHAM LOOP,RICHMOND AV/YUKON AV,WOODROW RD/FOSTER RD,ARTHUR KILL RD/ST JOHN NEWMANN,ARTHUR KILL RD/1297 ARTHUR KILL RD,WOODROW RD/HOLCOMB AV,WOODROW RD/BOULDER ST,WOODROW RD/ELLSWORTH AV,Yukon Depot (YU)
ARDEN AV/WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,0.389 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/1547 ARTHUR KILL RD,,,,,,,,,0.663 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/VINELAND AV,,,,,,,,,,,,,0.414 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SEGUINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 S I MALL,,,,,,,,,,,1.856 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,
ARTHUR KILL RD/WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 S I MALL,,,,,,,,,,,,,,,,,,,,,0.215 HUGUENOT LUTEN AV,,,,
ARTHUR KILL RD/LADD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42 HUGUENOT LUTEN AV,,,,,,,,,,,,,,
ARTHUR KILL RD/1666 ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,0.306 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATINUM AV/SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/ARTHUR KILL RD,,,,,,,,,,,0.165 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/ALMOND ST,,,,,,,,,,,,0.25 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/DOVER GREEN,,,,,,,,,,,,,,,,,,,,,,,,,0.245 HUGUENOT LUTEN AV,,,,,,,,,,,,0.165 S I MALL,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/CANTON AV,,,,,,,,,,,,,0.33 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/DELMAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 S I MALL,0.3 HUGUENOT LUTEN AV,,
FOSTER RD/ALBOURNE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,0.326 S I MALL,,,,,,,,,,,
EYLENDT ST/ LUTEN AV,,,,,,,,,,,,,,,,,,,0.0 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATINUM AV/TOYS R US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447 S I MALL,,,,,,,,
FOSTER RD/RATBURN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/ELMWOOD PK DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 S I MALL,,,,,,,0.883 HUGUENOT LUTEN AV,,,,,,,,
LUTEN AV/EYLANDT ST,,,,,,,,,,,,,,,,,,,,,,,,0.478 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ARDEN HGHTS SHOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517 S I MALL,,,,,
ELTINGVILLE/TRANSIT CENTER,,,,,,1.407 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.256 S I MALL,,,,,,,,,,,,,,,,,,
SEGUINE AV/WATERBURY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 S I MALL,,,,,,,0.019 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/SINGLETON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/LUTEN AV,,,,,,,,,,,,,,,3.052 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 S I MALL,,,,,,,,,,,,,,,,
ARDEN AV/FOREST GREEN,,,,,,,,,,,0.245 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/CORRELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 S I MALL,,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/KNOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133 S I MALL,,,,,,,,,,,,
FOSTER RD/AMBOY RD,,,,,,,,,,,,,,0.332 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/DARLINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316 S I MALL,,,0.247 HUGUENOT LUTEN AV,,,,,,,,,,
FOSTER RD/WHEELING AV,,,,,,,,,,,,,,,,,,,,,,0.274 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/OPP ASPEN KNOLLS,,0.537 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/DIRENZO CT,,,,0.166 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,0.212 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/PLATINUM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 HUGUENOT LUTEN AV,,,,,,,
ARTHUR KILL RD/ANNADALE RD,,,,,0.349 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 S I MALL,,,,,,,,,,,,,,
SEGUINE AV/JOHANNA LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/ROLLING HILL GREEN,,,,,,,,,,0.426 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ARDEN AV,,,,,,,0.344 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/HAMPTON GREEN,,,,,,,,,,,,,,,,,,,,,,,,,0.159 S I MALL,,,,,,,,,,,0.39 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/SINCLAIR AV,,,,,,,,,,,,,,,,,0.238 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 S I MALL,,,,,,
WOODROW RD/DESEREE AV,,,0.404 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/FOREST HILL RD,,,,,,,,,,,,,,,,,,,,,1.532 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.238 S I MALL,,,,,,,
FOSTER RD/WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CORNELIA AV,,,,0.715 S I MALL,,,,,,,,,,,,,,,,,,,,3.385 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/RING RD,,,,,,,,,,,,,,,,,,0.981 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/CROSSFIELD AV,,,,,,,,,,,,,,,,,,,,,0.964 S I MALL,,,,,,,,,,,,,0.205 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/RAMONA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316 S I MALL,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/OSWALD PL,,,,,,,,,,,,,,,,,,,,,,0.194 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/DRUMGOOLE RD W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/DRUMGOOLE RD E,,,,,,,,,,,,,,0.239 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/ALVERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,
MARSH AV/WINDHAM LOOP,,,,,,,,0.836 HUGUENOT LUTEN AV,,,,,,,,,,0.372 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YUKON AV,,,,,,,,,,,,,,,,1.159 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,0.676 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,7.405 to depot of S56
WOODROW RD/FOSTER RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495 S I MALL,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ST JOHN NEWMANN,,,,,0.52 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/1297 ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/HOLCOMB AV,0.415 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/BOULDER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422 HUGUENOT LUTEN AV,
WOODROW RD/ELLSWORTH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818 HUGUENOT LUTEN AV,,,,,,,,,
Yukon Depot (YU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796 HUGUENOT LUTEN AV,,,,,,,
